Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/catalogue,8974,5002,3,4702.121812935737,0.7625690000168106,121030.0809270002,160.12725651883218,53.81962037551746,29.998411089629855,3,3800,5000,5800,8400,13000,61000,76000,120000,121000,121000
POST,/checkout,2288,1280,3,5453.25815306163,0.8063830000537564,123062.27104299978,111.05594405594405,13.721784200934248,7.676522629893285,3,4500,5800,6500,9200,23000,60000,65000,96000,123000,123000
,Aggregated,11262,6282,3,4854.723477489806,0.7625690000168106,123062.27104299978,150.15787604333156,67.5414045764517,37.67493371952314,3,3900,5200,5900,8500,14000,60000,71000,120000,121000,123000
