Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/catalogue,7886,4318,3,6301.641551198839,0.7759580003039446,139425.78360500012,160.19883337560233,46.98305159494896,25.725693226856407,3,1700,4000,5000,10000,60000,67000,84000,131000,139000,139000
POST,/checkout,1916,1144,3,6461.894365095509,0.9140329993897467,122064.78474199958,115.06367432150313,11.415106119188716,6.815700104567792,3,1600,4300,5300,11000,60000,65000,67000,120000,122000,122000
,Aggregated,9802,5462,3,6332.966218759136,0.7759580003039446,139425.78360500012,151.37624974495,58.398157714137675,32.541393331424196,3,1700,4000,5100,10000,60000,66000,76000,129000,139000,139000
